Rk,Player,G,Age,Pos,Date,Tm,,Opp,,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,SHFT,TOI
1,Anthony Angello\angelan01,0,25-014,C,3/20/2021,PIT,@,NJD,W,0,0,0,4,0,0,0,0,0,,12,9:03
2,Anthony Angello\angelan01,0,25-015,C,3/21/2021,PIT,,NJD,L-OT,0,0,0,0,0,0,0,0,2,0,14,11:06
3,Anthony Angello\angelan01,0,25-012,C,3/18/2021,PIT,@,NJD,L,0,0,0,0,0,0,0,0,1,0,13,8:12
4,Zach Aston-Reese\astonza01,0,26-223,C,3/21/2021,PIT,,NJD,L-OT,0,0,0,2,0,0,0,0,1,0,23,14:00
5,Zach Aston-Reese\astonza01,0,26-220,C,3/18/2021,PIT,@,NJD,L,0,0,0,0,0,0,0,0,3,0,21,13:26
6,Zach Aston-Reese\astonza01,0,26-253,C,4/20/2021,PIT,,NJD,W,1,1,0,0,0,0,0,0,4,0,25,14:58
7,Zach Aston-Reese\astonza01,0,26-242,C,4/9/2021,PIT,@,NJD,W,0,0,1,0,0,0,0,0,0,,20,16:28
8,Zach Aston-Reese\astonza01,0,26-244,C,4/11/2021,PIT,@,NJD,W,0,0,0,0,0,0,0,0,1,0,23,15:30
9,Zach Aston-Reese\astonza01,1,26-222,C,3/20/2021,PIT,@,NJD,W,0,1,1,0,1,0,0,0,2,50,26,15:05
10,Teddy Blueger\bluegte01,0,26-239,C,4/11/2021,PIT,@,NJD,W,1,1,1,2,0,0,0,0,1,0,24,13:44
11,Teddy Blueger\bluegte01,1,26-248,C,4/20/2021,PIT,,NJD,W,0,1,0,0,1,0,0,0,1,100,26,16:04
12,Jeff Carter\carteje01,1,36-109,C,4/20/2021,PIT,,NJD,W,0,1,1,0,1,0,0,0,3,33.3,23,15:21
13,Cody Ceci\cecico01,0,27-087,D,3/18/2021,PIT,@,NJD,L,0,0,0,0,0,0,0,0,0,,22,16:26
14,Cody Ceci\cecico01,0,27-120,D,4/20/2021,PIT,,NJD,W,1,1,0,0,0,0,0,0,0,,26,20:42
15,Cody Ceci\cecico01,0,27-109,D,4/9/2021,PIT,@,NJD,W,1,1,0,0,0,0,0,0,0,,18,18:07
16,Cody Ceci\cecico01,0,27-089,D,3/20/2021,PIT,@,NJD,W,0,0,0,0,0,0,0,0,2,0,23,20:31
17,Cody Ceci\cecico01,0,27-111,D,4/11/2021,PIT,@,NJD,W,1,1,1,0,0,0,0,0,0,,23,19:13
18,Cody Ceci\cecico01,0,27-090,D,3/21/2021,PIT,,NJD,L-OT,0,0,0,0,0,0,0,0,1,0,23,18:49
19,Sidney Crosby\crosbsi01,0,33-225,C,3/20/2021,PIT,@,NJD,W,2,2,0,0,0,0,0,0,3,0,26,20:52
20,Sidney Crosby\crosbsi01,0,33-247,C,4/11/2021,PIT,@,NJD,W,1,1,1,0,0,0,0,0,3,0,29,21:42
21,Sidney Crosby\crosbsi01,0,33-223,C,3/18/2021,PIT,@,NJD,L,0,0,1,0,0,0,0,0,8,0,26,21:54
22,Sidney Crosby\crosbsi01,1,33-245,C,4/9/2021,PIT,@,NJD,W,2,3,1,0,1,0,0,1,5,20,24,20:48
23,Sidney Crosby\crosbsi01,1,33-226,C,3/21/2021,PIT,,NJD,L-OT,0,1,-1,0,1,0,0,0,4,25,26,21:03
24,Sidney Crosby\crosbsi01,1,33-256,C,4/20/2021,PIT,,NJD,W,1,2,0,2,1,0,0,1,4,25,25,21:44
25,Brian Dumoulin\dumoubr01,0,29-217,D,4/11/2021,PIT,@,NJD,W,1,1,1,0,0,0,0,0,2,0,26,21:30
26,Brian Dumoulin\dumoubr01,0,29-196,D,3/21/2021,PIT,,NJD,L-OT,0,0,1,0,0,0,0,0,0,,30,24:28:00
27,Brian Dumoulin\dumoubr01,0,29-193,D,3/18/2021,PIT,@,NJD,L,0,0,0,0,0,0,0,0,2,0,27,22:05
28,Brian Dumoulin\dumoubr01,0,29-195,D,3/20/2021,PIT,@,NJD,W,0,0,1,2,0,0,0,0,1,0,28,22:14
